OBJECTID,FID_BANJIR,ID,GRIDCODE,WADMKD,WADMKC,WADMKK,KDEPUM,KDCPUM,KDPKAB,KELAS,SHAPE.AREA,SHAPE.LEN
1,0,1,2,Kamal Muara,Penjaringan,Kota Adm. Jakarta Utara,31.72.01.1002,31.72.01,31.72,Sedang,29102.9100905156,698.342749760522
2,1,2,2,Kamal Muara,Penjaringan,Kota Adm. Jakarta Utara,31.72.01.1002,31.72.01,31.72,Sedang,6846.757596541311,377.290543894592
3,2,3,3,Pluit,Penjaringan,Kota Adm. Jakarta Utara,31.72.01.1005,31.72.01,31.72,Berat,65349.8568571418,1228.41607915044
4,3,4,3,Kalibaru,Cilincing,Kota Adm. Jakarta Utara,31.72.04.1004,31.72.04,31.72,Berat,6846.70535771778,377.289210885861
5,4,5,1,Kamal Muara,Penjaringan,Kota Adm. Jakarta Utara,31.72.01.1002,31.72.01,31.72,Ringan,20883.9766171966,665.617237151817
6,5,6,2,Pluit,Penjaringan,Kota Adm. Jakarta Utara,31.72.01.1005,31.72.01,31.72,Sedang,23193.4705766896,716.278314435076
7,6,7,2,Kamal Muara,Penjaringan,Kota Adm. Jakarta Utara,31.72.01.1002,31.72.01,31.72,Sedang,1711.86502795988,304.301539556441
8,6,7,2,Kamal,Kalideres,Kota Adm. Jakarta Barat,31.73.06.1004,31.73.06,31.73,Sedang,18929.881176675,716.472163090709
9,7,8,2,Penjaringan,Penjaringan,Kota Adm. Jakarta Utara,31.72.01.1001,31.72.01,31.72,Sedang,23125.6679108041,700.649853995243
10,8,9,3,Kalibaru,Cilincing,Kota Adm. Jakarta Utara,31.72.04.1004,31.72.04,31.72,Berat,9999.99999960358,399.99999999207205
11,9,10,2,Kalibaru,Cilincing,Kota Adm. Jakarta Utara,31.72.04.1004,31.72.04,31.72,Sedang,6368.079735817741,361.91028110159704
12,10,11,3,Kapuk Muara,Penjaringan,Kota Adm. Jakarta Utara,31.72.01.1003,31.72.01,31.72,Berat,6403.80859434266,374.980041487054
13,11,12,2,Marunda,Cilincing,Kota Adm. Jakarta Utara,31.72.04.1003,31.72.04,31.72,Sedang,13498.5382114606,567.373926139988
14,12,13,3,Koja,Koja,Kota Adm. Jakarta Utara,31.72.03.1001,31.72.03,31.72,Berat,6403.8085928133305,374.98004144378103
15,13,14,3,Kalibaru,Cilincing,Kota Adm. Jakarta Utara,31.72.04.1004,31.72.04,31.72,Berat,12803.5188507442,496.26939545854407
16,14,15,3,Kamal Muara,Penjaringan,Kota Adm. Jakarta Utara,31.72.01.1002,31.72.01,31.72,Berat,29715.4181813156,786.695284482681
17,15,16,1,Kapuk Muara,Penjaringan,Kota Adm. Jakarta Utara,31.72.01.1003,31.72.01,31.72,Ringan,28190.5029568885,853.338833657643
18,15,16,1,Pluit,Penjaringan,Kota Adm. Jakarta Utara,31.72.01.1005,31.72.01,31.72,Ringan,1091.1642728107001,218.558232144316
19,16,17,3,Kapuk Muara,Penjaringan,Kota Adm. Jakarta Utara,31.72.01.1003,31.72.01,31.72,Berat,1235.8082647641302,218.34824655158602
20,16,17,3,Pluit,Penjaringan,Kota Adm. Jakarta Utara,31.72.01.1005,31.72.01,31.72,Berat,8764.19173618052,377.360713381091
21,17,18,3,Kamal Muara,Penjaringan,Kota Adm. Jakarta Utara,31.72.01.1002,31.72.01,31.72,Berat,26869.312039681503,747.6038359715471
22,18,19,1,Kamal Muara,Penjaringan,Kota Adm. Jakarta Utara,31.72.01.1002,31.72.01,31.72,Ringan,22928.7270929836,661.1243636785911
23,18,19,1,Kapuk Muara,Penjaringan,Kota Adm. Jakarta Utara,31.72.01.1003,31.72.01,31.72,Ringan,22225.069085363302,626.6851045171641
