OBJECTID,FID_BANJIR,ID,GRIDCODE,kelurahan,kecamatan,kota_administrasi,kode_kelurahan,kode_kecamatan,kode_kota,risk_class,shape_area,shape_len,city,baseline_score
1,0,1,2,KAMAL MUARA,PENJARINGAN,KOTA ADM. JAKARTA UTARA,31.72.01.1002,31.72.01,31.72,SEDANG,29102.9100905156,698.342749760522,JAKARTA UTARA,0.6
2,1,2,2,KAMAL MUARA,PENJARINGAN,KOTA ADM. JAKARTA UTARA,31.72.01.1002,31.72.01,31.72,SEDANG,6846.757596541311,377.290543894592,JAKARTA UTARA,0.6
3,2,3,3,PLUIT,PENJARINGAN,KOTA ADM. JAKARTA UTARA,31.72.01.1005,31.72.01,31.72,BERAT,65349.8568571418,1228.41607915044,JAKARTA UTARA,0.9
4,3,4,3,KALIBARU,CILINCING,KOTA ADM. JAKARTA UTARA,31.72.04.1004,31.72.04,31.72,BERAT,6846.70535771778,377.289210885861,JAKARTA UTARA,0.9
5,4,5,1,KAMAL MUARA,PENJARINGAN,KOTA ADM. JAKARTA UTARA,31.72.01.1002,31.72.01,31.72,RINGAN,20883.9766171966,665.617237151817,JAKARTA UTARA,0.3
6,5,6,2,PLUIT,PENJARINGAN,KOTA ADM. JAKARTA UTARA,31.72.01.1005,31.72.01,31.72,SEDANG,23193.4705766896,716.278314435076,JAKARTA UTARA,0.6
7,6,7,2,KAMAL MUARA,PENJARINGAN,KOTA ADM. JAKARTA UTARA,31.72.01.1002,31.72.01,31.72,SEDANG,1711.86502795988,304.301539556441,JAKARTA UTARA,0.6
8,6,7,2,KAMAL,KALIDERES,KOTA ADM. JAKARTA BARAT,31.73.06.1004,31.73.06,31.73,SEDANG,18929.881176675,716.472163090709,JAKARTA BARAT,0.6
9,7,8,2,PENJARINGAN,PENJARINGAN,KOTA ADM. JAKARTA UTARA,31.72.01.1001,31.72.01,31.72,SEDANG,23125.6679108041,700.649853995243,JAKARTA UTARA,0.6
10,8,9,3,KALIBARU,CILINCING,KOTA ADM. JAKARTA UTARA,31.72.04.1004,31.72.04,31.72,BERAT,9999.99999960358,399.9999999920721,JAKARTA UTARA,0.9
11,9,10,2,KALIBARU,CILINCING,KOTA ADM. JAKARTA UTARA,31.72.04.1004,31.72.04,31.72,SEDANG,6368.079735817741,361.91028110159704,JAKARTA UTARA,0.6
12,10,11,3,KAPUK MUARA,PENJARINGAN,KOTA ADM. JAKARTA UTARA,31.72.01.1003,31.72.01,31.72,BERAT,6403.80859434266,374.980041487054,JAKARTA UTARA,0.9
13,11,12,2,MARUNDA,CILINCING,KOTA ADM. JAKARTA UTARA,31.72.04.1003,31.72.04,31.72,SEDANG,13498.5382114606,567.373926139988,JAKARTA UTARA,0.6
14,12,13,3,KOJA,KOJA,KOTA ADM. JAKARTA UTARA,31.72.03.1001,31.72.03,31.72,BERAT,6403.8085928133305,374.98004144378103,JAKARTA UTARA,0.9
15,13,14,3,KALIBARU,CILINCING,KOTA ADM. JAKARTA UTARA,31.72.04.1004,31.72.04,31.72,BERAT,12803.5188507442,496.26939545854407,JAKARTA UTARA,0.9
16,14,15,3,KAMAL MUARA,PENJARINGAN,KOTA ADM. JAKARTA UTARA,31.72.01.1002,31.72.01,31.72,BERAT,29715.4181813156,786.695284482681,JAKARTA UTARA,0.9
17,15,16,1,KAPUK MUARA,PENJARINGAN,KOTA ADM. JAKARTA UTARA,31.72.01.1003,31.72.01,31.72,RINGAN,28190.5029568885,853.338833657643,JAKARTA UTARA,0.3
18,15,16,1,PLUIT,PENJARINGAN,KOTA ADM. JAKARTA UTARA,31.72.01.1005,31.72.01,31.72,RINGAN,1091.1642728107,218.558232144316,JAKARTA UTARA,0.3
19,16,17,3,KAPUK MUARA,PENJARINGAN,KOTA ADM. JAKARTA UTARA,31.72.01.1003,31.72.01,31.72,BERAT,1235.8082647641302,218.348246551586,JAKARTA UTARA,0.9
20,16,17,3,PLUIT,PENJARINGAN,KOTA ADM. JAKARTA UTARA,31.72.01.1005,31.72.01,31.72,BERAT,8764.19173618052,377.360713381091,JAKARTA UTARA,0.9
21,17,18,3,KAMAL MUARA,PENJARINGAN,KOTA ADM. JAKARTA UTARA,31.72.01.1002,31.72.01,31.72,BERAT,26869.312039681503,747.6038359715471,JAKARTA UTARA,0.9
22,18,19,1,KAMAL MUARA,PENJARINGAN,KOTA ADM. JAKARTA UTARA,31.72.01.1002,31.72.01,31.72,RINGAN,22928.7270929836,661.1243636785911,JAKARTA UTARA,0.3
23,18,19,1,KAPUK MUARA,PENJARINGAN,KOTA ADM. JAKARTA UTARA,31.72.01.1003,31.72.01,31.72,RINGAN,22225.069085363302,626.6851045171641,JAKARTA UTARA,0.3
24,19,20,2,PLUIT,PENJARINGAN,KOTA ADM. JAKARTA UTARA,31.72.01.1005,31.72.01,31.72,SEDANG,35679.4754072206,896.3829299100281,JAKARTA UTARA,0.6
25,20,21,3,PLUIT,PENJARINGAN,KOTA ADM. JAKARTA UTARA,31.72.01.1005,31.72.01,31.72,BERAT,9999.99999960358,399.9999999920721,JAKARTA UTARA,0.9
26,21,22,2,KAMAL,KALIDERES,KOTA ADM. JAKARTA BARAT,31.73.06.1004,31.73.06,31.73,SEDANG,6846.7575959533,377.290543878055,JAKARTA BARAT,0.6
27,22,23,2,PLUIT,PENJARINGAN,KOTA ADM. JAKARTA UTARA,31.72.01.1005,31.72.01,31.72,SEDANG,6403.80859348386,374.9800414687661,JAKARTA UTARA,0.6
28,23,24,1,KAPUK MUARA,PENJARINGAN,KOTA ADM. JAKARTA UTARA,31.72.01.1003,31.72.01,31.72,RINGAN,30000.0000014929,723.606797763603,JAKARTA UTARA,0.3
29,24,25,3,PLUIT,PENJARINGAN,KOTA ADM. JAKARTA UTARA,31.72.01.1005,31.72.01,31.72,BERAT,13352.3398173885,563.232828149777,JAKARTA UTARA,0.9
30,25,26,3,ANCOL,PADEMANGAN,KOTA ADM. JAKARTA UTARA,31.72.05.1003,31.72.05,31.72,BERAT,5066.72996391594,291.74518036929004,JAKARTA UTARA,0.9
31,26,27,3,KALIBARU,CILINCING,KOTA ADM. JAKARTA UTARA,31.72.04.1004,31.72.04,31.72,BERAT,6869.151855015531,351.28325601078404,JAKARTA UTARA,0.9
32,27,28,2,KAPUK MUARA,PENJARINGAN,KOTA ADM. JAKARTA UTARA,31.72.01.1003,31.72.01,31.72,SEDANG,23482.9711917116,717.0818036073911,JAKARTA UTARA,0.6
33,28,29,3,PLUIT,PENJARINGAN,KOTA ADM. JAKARTA UTARA,31.72.01.1005,31.72.01,31.72,BERAT,7580.19116620677,365.48020180708704,JAKARTA UTARA,0.9
34,29,30,2,ANCOL,PADEMANGAN,KOTA ADM. JAKARTA UTARA,31.72.05.1003,31.72.05,31.72,SEDANG,7472.016733546891,354.96862757990505,JAKARTA UTARA,0.6
35,30,31,2,KAPUK MUARA,PENJARINGAN,KOTA ADM. JAKARTA UTARA,31.72.01.1003,31.72.01,31.72,SEDANG,6846.7575962473,377.290543886323,JAKARTA UTARA,0.6
36,31,32,1,KAPUK MUARA,PENJARINGAN,KOTA ADM. JAKARTA UTARA,31.72.01.1003,31.72.01,31.72,RINGAN,10000.0000009447,400.000000018893,JAKARTA UTARA,0.3
37,32,33,2,KAPUK MUARA,PENJARINGAN,KOTA ADM. JAKARTA UTARA,31.72.01.1003,31.72.01,31.72,SEDANG,97428.4615315833,1648.03719024233,JAKARTA UTARA,0.6
38,32,33,2,PLUIT,PENJARINGAN,KOTA ADM. JAKARTA UTARA,31.72.01.1005,31.72.01,31.72,SEDANG,7493.413467412691,518.7475741870061,JAKARTA UTARA,0.6
39,33,34,2,KOJA,KOJA,KOTA ADM. JAKARTA UTARA,31.72.03.1001,31.72.03,31.72,SEDANG,694688.278334775,6271.26128192656,JAKARTA UTARA,0.6
40,34,35,2,KOJA,KOJA,KOTA ADM. JAKARTA UTARA,31.72.03.1001,31.72.03,31.72,SEDANG,6403.80859324272,374.98004145292504,JAKARTA UTARA,0.6
41,35,36,1,KALIBARU,CILINCING,KOTA ADM. JAKARTA UTARA,31.72.04.1004,31.72.04,31.72,RINGAN,13498.5382106092,567.3739261147481,JAKARTA UTARA,0.3
42,36,37,3,KAMAL MUARA,PENJARINGAN,KOTA ADM. JAKARTA UTARA,31.72.01.1002,31.72.01,31.72,BERAT,122433.475183162,1499.6435772159202,JAKARTA UTARA,0.9
43,37,38,3,PLUIT,PENJARINGAN,KOTA ADM. JAKARTA UTARA,31.72.01.1005,31.72.01,31.72,BERAT,6443.93176501591,361.1102359629781,JAKARTA UTARA,0.9
44,38,39,2,PENJARINGAN,PENJARINGAN,KOTA ADM. JAKARTA UTARA,31.72.01.1001,31.72.01,31.72,SEDANG,97923.9153867483,1499.32669918599,JAKARTA UTARA,0.6
45,39,40,2,ANCOL,PADEMANGAN,KOTA ADM. JAKARTA UTARA,31.72.05.1003,31.72.05,31.72,SEDANG,20000.0000018893,600.000000021634,JAKARTA UTARA,0.6
46,40,41,1,KAPUK MUARA,PENJARINGAN,KOTA ADM. JAKARTA UTARA,31.72.01.1003,31.72.01,31.72,RINGAN,19999.999999877706,600.000000008224,JAKARTA UTARA,0.3
47,41,42,3,ANCOL,PADEMANGAN,KOTA ADM. JAKARTA UTARA,31.72.05.1003,31.72.05,31.72,BERAT,18208.5608085388,567.165317698469,JAKARTA UTARA,0.9
48,42,43,2,TEGAL ALUR,KALIDERES,KOTA ADM. JAKARTA BARAT,31.73.06.1003,31.73.06,31.73,SEDANG,156726.476351602,1967.96666148022,JAKARTA BARAT,0.6
49,42,43,2,KAMAL,KALIDERES,KOTA ADM. JAKARTA BARAT,31.73.06.1004,31.73.06,31.73,SEDANG,503604.424813023,2721.8378110872204,JAKARTA BARAT,0.6
50,43,44,2,KAMAL MUARA,PENJARINGAN,KOTA ADM. JAKARTA UTARA,31.72.01.1002,31.72.01,31.72,SEDANG,13498.4763619876,567.372388641644,JAKARTA UTARA,0.6
51,44,45,3,KAMAL MUARA,PENJARINGAN,KOTA ADM. JAKARTA UTARA,31.72.01.1002,31.72.01,31.72,BERAT,26562.5000015453,697.679830115912,JAKARTA UTARA,0.9
52,45,46,3,KAPUK MUARA,PENJARINGAN,KOTA ADM. JAKARTA UTARA,31.72.01.1003,31.72.01,31.72,BERAT,40563.477562162,1439.84047531795,JAKARTA UTARA,0.9
53,45,46,3,PLUIT,PENJARINGAN,KOTA ADM. JAKARTA UTARA,31.72.01.1005,31.72.01,31.72,BERAT,89018.43161934751,2070.1781717642903,JAKARTA UTARA,0.9
54,46,47,3,ANCOL,PADEMANGAN,KOTA ADM. JAKARTA UTARA,31.72.05.1003,31.72.05,31.72,BERAT,6198.44635985532,346.00061182997405,JAKARTA UTARA,0.9
55,47,48,2,TANJUNG PRIOK,TANJUNG PRIOK,KOTA ADM. JAKARTA UTARA,31.72.02.1001,31.72.02,31.72,SEDANG,383781.065856996,4071.45600878684,JAKARTA UTARA,0.6
