city,historical_flood_count,avg_severity_score,max_severity_score,total_houses_flooded,total_public_facilities_damaged,last_flood_date,flood_frequency_score,severity_score_norm,historical_score
JAKARTA BARAT,19,7.526315789473684,40.0,63.0,0,2022-07-15,0.5135135135135135,0.026295801786099762,0.318626428822548
JAKARTA PUSAT,6,3.3333333333333335,20.0,0.0,0,2020-09-22,0.16216216216216217,0.011646159299205023,0.10195576101697931
JAKARTA SELATAN,37,60.86486486486486,808.0,2129.0,1,2022-12-16,1.0,0.2126525735822409,0.6850610294328964
JAKARTA TIMUR,36,130.19444444444446,1080.0,4587.0,0,2022-11-13,0.972972972972973,0.45487957196144957,0.7657356125683636
JAKARTA UTARA,11,5.454545454545454,50.0,50.0,0,2022-11-13,0.2972972972972973,0.01905735158051731,0.1860013190105853
KOTA ADM. JAKARTA BARAT,18,219.44444444444446,1207.0,3950.0,0,2026-01-28,0.4864864864864865,0.7667054871976641,0.5985740867709576
KOTA ADM. JAKARTA PUSAT,1,20.0,20.0,20.0,0,2025-07-06,0.02702702702702703,0.06987695579523014,0.04416699853430828
KOTA ADM. JAKARTA SELATAN,23,286.2173913043478,1421.0,6503.0,0,2026-02-20,0.6216216216216216,1.0,0.772972972972973
KOTA ADM. JAKARTA TIMUR,21,119.61904761904762,584.0,2512.0,0,2025-10-30,0.5675675675675675,0.417930745137186,0.5077128385954149
KOTA ADM. JAKARTA UTARA,6,0.0,0.0,0.0,0,2025-07-07,0.16216216216216217,0.0,0.0972972972972973
